images,class
fold_easy/images/id1575_region0_patch_67015_106867.png,easy
fold_easy/images/id2665_patch_8192_16896.png,easy
fold_easy/images/id1228_patch_107008_69632.png,easy
fold_easy/images/id1205_patch_39936_5120.png,easy
fold_easy/images/id2145_im_112_patch_1024_512.png,easy
fold_easy/images/id1036_patch_58368_10240.png,easy
fold_easy/images/id1954_patch_26624_29696.png,easy
fold_easy/images/id1413_region1_patch_66987_162068.png,easy
fold_easy/images/id2796_region0_patch_58803_97632.png,easy
fold_easy/images/id1717_patch_75776_35840.png,easy
fold_easy/images/id1105_region0_patch_59847_78469.png,easy
fold_easy/images/id2543_patch_10240_42496.png,easy
fold_easy/images/id2251_patch_119296_16384.png,easy
fold_easy/images/id2126_patch_26112_45568.png,easy
fold_easy/images/id1418_patch_13312_20480.png,easy
fold_easy/images/id1116_region0_patch_51616_116301.png,easy
fold_easy/images/id1062_patch_13312_20992.png,easy
fold_easy/images/id2099_patch_17920_27136.png,easy
fold_easy/images/id2092_patch_6144_2560.png,easy
fold_easy/images/id380_region1_patch_33754_134714.png,easy
fold_easy/images/id2895_patch_11776_15872.png,easy
fold_easy/images/id1739_region0_patch_71034_94048.png,easy
fold_easy/images/id2371_patch_8704_23552.png,easy
fold_easy/images/id1601_im_6_patch_1024_1024.png,easy
fold_easy/images/id726_patch_25600_9216.png,easy
fold_easy/images/id808_patch_6656_6656.png,easy
fold_easy/images/id1249_im_30_patch_1536_1024.png,easy
fold_easy/images/id1530_patch_15872_26112.png,easy
fold_easy/images/id1078_patch_7680_32768.png,easy
fold_easy/images/id790_patch_27648_12800.png,easy
fold_easy/images/id1260_region1_patch_38855_150700.png,easy
fold_easy/images/id2469_region0_patch_59808_78678.png,easy
fold_easy/images/id1871_im_15_patch_0_2048.png,easy
fold_easy/images/id718_patch_17920_15360.png,easy
fold_easy/images/id2007_patch_18944_48128.png,easy
fold_easy/images/id163_region0_patch_36287_55526.png,easy
fold_easy/images/id233_patch_53248_27648.png,easy
fold_easy/images/id1839_patch_39424_52224.png,easy
fold_easy/images/id1126_patch_71680_13824.png,easy
fold_easy/images/id995_patch_15360_6656.png,easy
fold_easy/images/id575_patch_31232_33792.png,easy
fold_easy/images/id673_patch_7168_17408.png,easy
fold_easy/images/id2115_region0_patch_40363_85125.png,easy
fold_easy/images/id532_patch_19456_36352.png,easy
fold_easy/images/id2436_patch_68608_5632.png,easy
fold_easy/images/id1876_patch_16384_31744.png,easy
fold_easy/images/id637_patch_63488_40448.png,easy
fold_easy/images/id770_patch_14336_5632.png,easy
fold_easy/images/id1907_patch_88576_5120.png,easy
fold_easy/images/id1984_patch_67584_4608.png,easy
fold_easy/images/id1484_patch_11264_12288.png,easy
fold_easy/images/id2069_patch_24576_26112.png,easy
fold_easy/images/id539_patch_33280_32768.png,easy
fold_easy/images/id1221_patch_6656_8192.png,easy
fold_easy/images/id1887_patch_12800_31744.png,easy
fold_easy/images/id1207_patch_32256_22528.png,easy
fold_easy/images/id601_patch_17408_30720.png,easy
fold_easy/images/id2679_patch_68608_44032.png,easy
fold_easy/images/id96_patch_19968_39424.png,easy
fold_easy/images/id2460_patch_75264_50176.png,easy
fold_easy/images/id2432_region1_patch_43453_120107.png,easy
fold_easy/images/id2733_patch_108032_15872.png,easy
fold_easy/images/id409_region1_patch_61837_86491.png,easy
fold_easy/images/id1678_region0_patch_38827_77275.png,easy
fold_easy/images/id1125_patch_79360_48640.png,easy
fold_easy/images/id72_patch_18432_6656.png,easy
fold_easy/images/id1778_region0_patch_54727_96115.png,easy
fold_easy/images/id2638_region0_patch_45483_91184.png,easy
fold_easy/images/id2097_patch_63488_12800.png,easy
fold_easy/images/id1251_region1_patch_74086_90976.png,easy
fold_easy/images/id2480_patch_22016_25600.png,easy
fold_easy/images/id2919_region0_patch_59335_94579.png,easy
fold_easy/images/id1152_patch_79360_7168.png,easy
fold_easy/images/id1067_region3_patch_47390_78440.png,easy
fold_easy/images/id1182_patch_98304_36352.png,easy
fold_easy/images/id514_region1_patch_61837_86491.png,easy
fold_easy/images/id731_region1_patch_48889_57960.png,easy
fold_easy/images/id1250_patch_25600_45056.png,easy
fold_easy/images/id1930_patch_138752_16384.png,easy
fold_easy/images/id862_region1_patch_20975_148244.png,easy
fold_easy/images/id2404_patch_56320_8192.png,easy
fold_easy/images/id1615_region0_patch_47296_72278.png,easy
fold_easy/images/id1416_patch_38912_55808.png,easy
fold_easy/images/id1720_patch_12288_27136.png,easy
fold_easy/images/id372_im_27_patch_1024_1024.png,easy
fold_easy/images/id1397_patch_24576_9216.png,easy
fold_easy/images/id2917_patch_71680_23040.png,easy
fold_easy/images/id589_patch_87040_34816.png,easy
fold_easy/images/id758_patch_53760_10240.png,easy
fold_easy/images/id245_patch_24064_11776.png,easy
fold_easy/images/id1620_region0_patch_37581_65220.png,easy
fold_easy/images/id2339_patch_9728_12800.png,easy
fold_easy/images/id1099_region3_patch_68945_158736.png,easy
fold_easy/images/id1369_patch_15360_31744.png,easy
fold_easy/images/id102_region0_patch_50650_122720.png,easy
fold_easy/images/id2282_patch_45568_46592.png,easy
fold_easy/images/id1664_region0_patch_52186_87600.png,easy
fold_easy/images/id614_patch_83456_31232.png,easy
fold_easy/images/id1361_patch_83456_15872.png,easy
fold_easy/images/id645_patch_10752_5120.png,easy
fold_easy/images/id536_patch_48640_31232.png,easy
fold_easy/images/id789_patch_12288_4096.png,easy
fold_easy/images/id401_region2_patch_63904_169265.png,easy
fold_easy/images/id1608_patch_5632_20480.png,easy
fold_easy/images/id2849_region0_patch_49780_32026.png,easy
